epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,64.8648,0.99442,1.29715,0.80889,0.60233,0.70496,0.67266,0.48827,1.25377,1.28394,0.8311,0.000790002,0.000790002,0.000790002
44,65.3951,1.10226,1.32923,0.84775,0.53264,0.68436,0.63534,0.48487,1.27826,1.30878,0.83567,0.000785002,0.000785002,0.000785002
45,65.9177,1.09517,1.302,0.81972,0.53264,0.68436,0.63534,0.48487,1.27826,1.30878,0.83567,0.000780002,0.000780002,0.000780002
46,66.4175,1.13008,1.47732,0.82797,0.49889,0.67529,0.6334,0.49756,1.25368,1.36041,0.834,0.000775002,0.000775002,0.000775002
47,67.0195,1.03486,1.3881,0.8168,0.48052,0.66945,0.63786,0.49059,1.28894,1.3277,0.83812,0.000770002,0.000770002,0.000770002
48,67.5075,0.96679,1.20694,0.8072,0.48052,0.66945,0.63786,0.49059,1.28894,1.3277,0.83812,0.000765002,0.000765002,0.000765002
49,68.0018,1.04241,1.22649,0.81748,0.55831,0.63328,0.64717,0.51137,1.28401,1.2907,0.84324,0.000760002,0.000760002,0.000760002
50,68.4887,1.06231,1.21188,0.81663,0.55831,0.63328,0.64717,0.51137,1.28401,1.2907,0.84324,0.000755002,0.000755002,0.000755002
51,68.983,0.93956,1.14783,0.82098,0.55556,0.6954,0.64734,0.4971,1.22641,1.33005,0.83514,0.000750003,0.000750003,0.000750003
52,69.5627,1.06841,1.17843,0.81331,0.53377,0.69396,0.64103,0.50257,1.19229,1.30961,0.84147,0.000745003,0.000745003,0.000745003
53,70.0855,1.01908,1.21548,0.80675,0.53377,0.69396,0.64103,0.50257,1.19229,1.30961,0.84147,0.000740003,0.000740003,0.000740003
54,70.6181,1.04724,1.19544,0.83124,0.55907,0.56186,0.62978,0.48477,1.22808,1.37329,0.84581,0.000735003,0.000735003,0.000735003
55,71.1618,1.0575,1.28454,0.82888,0.53501,0.63899,0.64658,0.47453,1.21162,1.34931,0.85827,0.000730003,0.000730003,0.000730003
56,71.754,1.07277,1.15096,0.84353,0.53501,0.63899,0.64658,0.47453,1.21162,1.34931,0.85827,0.000725003,0.000725003,0.000725003
57,72.2946,1.02483,1.21669,0.86899,0.5275,0.67547,0.64818,0.50505,1.21349,1.36085,0.86239,0.000720003,0.000720003,0.000720003
58,72.8156,0.99063,1.0873,0.82723,0.5275,0.67547,0.64818,0.50505,1.21349,1.36085,0.86239,0.000715003,0.000715003,0.000715003
59,73.3493,1.01803,1.05683,0.83943,0.52138,0.70169,0.63291,0.50154,1.22136,1.35546,0.86248,0.000710003,0.000710003,0.000710003
60,73.8546,0.91567,1.08296,0.83398,0.58511,0.66113,0.66153,0.54279,1.15726,1.23505,0.84986,0.000705003,0.000705003,0.000705003
61,74.4492,1.10497,1.1622,0.83494,0.58511,0.66113,0.66153,0.54279,1.15726,1.23505,0.84986,0.000700003,0.000700003,0.000700003
62,74.9779,0.93479,1.04024,0.83544,0.5688,0.75478,0.66432,0.54295,1.13269,1.1755,0.83141,0.000695003,0.000695003,0.000695003
63,75.4846,0.98015,1.07207,0.84026,0.5973,0.82424,0.6664,0.52268,1.17716,1.10903,0.83109,0.000690003,0.000690003,0.000690003
64,75.9789,0.93819,1.10183,0.83986,0.5973,0.82424,0.6664,0.52268,1.17716,1.10903,0.83109,0.000685003,0.000685003,0.000685003
65,76.5692,1.08851,1.19874,0.83025,0.57557,0.84156,0.64799,0.5115,1.171,1.08077,0.83565,0.000680003,0.000680003,0.000680003
66,77.0659,0.99762,1.03769,0.83718,0.57557,0.84156,0.64799,0.5115,1.171,1.08077,0.83565,0.000675003,0.000675003,0.000675003
67,77.5738,0.92151,1.08784,0.82795,0.59077,0.84036,0.65433,0.50521,1.1261,1.05197,0.83712,0.000670003,0.000670003,0.000670003
68,78.1137,1.09038,1.10833,0.81595,0.56022,0.80851,0.65665,0.52129,1.14201,1.08384,0.83182,0.000665003,0.000665003,0.000665003
