epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,138.518,0.70124,0.6474,0.7949,0.71456,0.83146,0.74002,0.59102,1.0732,0.81951,0.81493,9.5009e-05,9.5009e-05,9.5009e-05
183,139.146,0.72558,0.6808,0.78554,0.70845,0.83012,0.73687,0.59689,1.06194,0.82203,0.81419,9.00091e-05,9.00091e-05,9.00091e-05
184,139.677,0.60924,0.60462,0.80099,0.70845,0.83012,0.73687,0.59689,1.06194,0.82203,0.81419,8.50091e-05,8.50091e-05,8.50091e-05
185,140.224,0.6765,0.62221,0.8008,0.70118,0.83118,0.71611,0.57861,1.06365,0.82574,0.81421,8.00092e-05,8.00092e-05,8.00092e-05
186,141.242,0.70302,0.73642,0.7882,0.70118,0.83118,0.71611,0.57861,1.06365,0.82574,0.81421,7.50092e-05,7.50092e-05,7.50092e-05
187,141.798,0.65466,0.70982,0.78069,0.69503,0.83852,0.71779,0.5688,1.05863,0.81756,0.81483,7.00093e-05,7.00093e-05,7.00093e-05
188,142.451,0.73428,0.76715,0.80699,0.8892,0.66039,0.72304,0.57252,1.0726,0.80718,0.81634,6.50093e-05,6.50093e-05,6.50093e-05
189,142.982,0.67781,0.73472,0.80741,0.8892,0.66039,0.72304,0.57252,1.0726,0.80718,0.81634,6.00094e-05,6.00094e-05,6.00094e-05
190,143.533,0.68953,0.76591,0.7655,0.89337,0.6602,0.72218,0.57184,1.07943,0.79022,0.81577,5.50095e-05,5.50095e-05,5.50095e-05
191,144.08,0.69079,0.74488,0.79326,0.89284,0.66352,0.73298,0.5803,1.08919,0.79311,0.81631,5.00095e-05,5.00095e-05,5.00095e-05
192,144.692,0.80255,0.81937,0.84425,0.89284,0.66352,0.73298,0.5803,1.08919,0.79311,0.81631,4.50096e-05,4.50096e-05,4.50096e-05
193,145.228,0.68739,0.69165,0.77968,0.89332,0.66679,0.76302,0.59562,1.10567,0.79437,0.8146,4.00096e-05,4.00096e-05,4.00096e-05
194,145.76,0.61494,0.67973,0.81367,0.89332,0.66679,0.76302,0.59562,1.10567,0.79437,0.8146,3.50097e-05,3.50097e-05,3.50097e-05
195,146.303,0.65824,0.72699,0.77629,0.89288,0.66712,0.76375,0.58943,1.10527,0.80043,0.81436,3.00097e-05,3.00097e-05,3.00097e-05
